task,category,in_shape,out_shape,same_size,variable_in,variable_out,in_colors,out_colors,n_train,n_test,n_arcgen,size_detail
task106,complex_variable,2x2,4x4,False,True,True,"[6, 8]","[6, 8]",3,1,262,varies
task107,complex_variable,5x5,10x10,False,False,True,"[0, 3, 8]","[0, 2, 3, 8]",3,1,262,varies
task108,complex_expand,10x10,20x20,False,False,False,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,1,262,10x10→20x20
task109,complex_variable,11x11,10x10,False,True,True,"[0, 1, 2]","[0, 2]",3,1,262,varies
task110,complex_same_size,29x29,29x29,True,False,False,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",3,1,262,29x29
task111,complex_shrink,10x10,3x3,False,False,False,"[0, 1, 5]","[0, 1]",3,1,261,10x10→3x3
task112,complex_same_size_variable,20x30,20x30,True,True,True,"[0, 2, 3]","[0, 2, 3]",3,1,262,varies
task113,complex_same_size_variable,10x3,10x3,True,True,True,"[0, 2, 3]","[0, 2, 3]",2,1,262,varies
task114,complex_variable,2x2,4x4,False,True,True,"[1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,1,262,varies
task115,complex_variable,14x16,1x3,False,True,True,"[2, 4, 8]","[2, 4, 8]",3,1,262,varies
task116,complex_expand,3x4,6x4,False,False,False,"[5, 9]","[5, 9]",4,1,262,3x4→6x4
task117,complex_same_size_variable,14x14,14x14,True,True,True,"[0, 2, 4]","[0, 2, 4]",3,1,261,varies
task118,complex_same_size_variable,20x22,20x22,True,True,True,"[0, 2, 5]","[0, 2, 5, 8]",4,1,262,varies
task119,complex_same_size,12x12,12x12,True,False,False,"[0, 2, 8]","[0, 2, 3, 8]",3,1,262,12x12
task120,complex_same_size_variable,13x15,13x15,True,True,True,"[0, 1, 2, 3]","[0, 1, 2, 3, 8]",3,1,262,varies
task121,complex_shrink,13x13,3x3,False,False,False,"[0, 2, 3, 4, 6, 8]","[0, 4]",3,1,262,13x13→3x3
task122,complex_same_size_variable,7x13,7x13,True,True,True,"[0, 2, 3]","[0, 2, 3]",3,1,262,varies
task123,complex_expand,5x5,10x10,False,False,False,"[0, 2, 3]","[2, 3]",3,1,261,5x5→10x10
task124,complex_variable_in_fixed_out,6x10,10x10,False,True,False,"[0, 1]","[0, 1]",3,2,262,→10x10
task125,complex_same_size,15x15,15x15,True,False,False,"[6, 8]","[3, 4, 6, 8]",2,1,262,15x15
task126,complex_same_size_variable,8x8,8x8,True,True,True,"[0, 6]","[0, 4, 6]",3,1,262,varies
task127,complex_same_size_variable,3x11,3x11,True,True,True,"[0, 1, 2, 5]","[5, 6, 7]",4,1,262,varies
task128,complex_same_size,15x15,15x15,True,False,False,"[0, 1, 2, 4]","[0, 1, 2, 4]",3,1,262,15x15
task129,complex_same_size,3x3,3x3,True,False,False,"[0, 3, 4, 6, 8]",[4],3,1,261,3x3
task130,complex_shrink,9x9,3x3,False,False,False,"[0, 3, 5, 6, 7, 8, 9]","[0, 3, 6, 7, 8, 9]",2,1,262,9x9→3x3
task131,complex_same_size_variable,4x16,4x16,True,True,True,"[0, 2, 3]","[0, 2, 3, 8]",3,1,262,varies
task132,complex_same_size_variable,10x10,10x10,True,True,True,"[0, 1, 2]","[0, 1, 2]",4,1,262,varies
task133,complex_same_size_variable,16x12,16x12,True,True,True,"[0, 1, 3, 4]","[0, 1, 3, 4]",4,1,262,varies
task134,complex_variable_in_fixed_out,20x24,3x3,False,True,False,"[0, 4, 8]","[0, 8]",3,1,262,→3x3
task135,crop_r0c6_3x3,9x9,3x3,False,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 4, 7, 8, 9]",4,1,261,9x9→3x3
task136,complex_same_size,10x10,10x10,True,False,False,"[0, 1, 2]","[0, 1, 2]",3,1,262,10x10
task137,complex_same_size_variable,23x23,23x23,True,True,True,"[0, 8]","[0, 8]",3,1,262,varies
task138,complex_variable,22x22,15x12,False,True,True,"[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,1,262,varies
task139,complex_same_size,9x9,9x9,True,False,False,"[0, 4]","[0, 4, 7]",2,1,262,9x9
task140,rot180,3x3,3x3,True,False,False,"[0, 3, 5, 7, 8]","[0, 3, 5, 7, 8]",2,1,262,3x3
task141,complex_same_size_variable,15x15,15x15,True,True,True,"[0, 2]","[0, 2]",3,1,261,varies
task142,complex_expand,3x3,6x6,False,False,False,"[0, 1, 2, 3]","[0, 1, 2, 3]",3,1,262,3x3→6x6
task143,complex_same_size,10x10,10x10,True,False,False,"[0, 1, 5, 6, 7, 8]","[0, 1, 5, 7, 8]",3,1,262,10x10
task144,complex_shrink,9x4,4x4,False,False,False,"[0, 2, 4, 7]","[0, 3]",4,1,262,9x4→4x4
task145,complex_same_size_variable,18x13,18x13,True,True,True,"[0, 2]","[0, 1, 2, 8]",4,1,262,varies
task146,complex_shrink,9x3,3x3,False,False,False,"[1, 2, 3, 4, 8, 9]","[3, 4]",4,1,262,9x3→3x3
task147,complex_same_size_variable,3x3,3x3,True,True,True,"[0, 3]","[0, 3, 8]",4,1,262,varies
task148,complex_same_size_variable,19x8,19x8,True,True,True,"[0, 2, 8]","[0, 2, 4, 8]",3,1,262,varies
task149,complex_shrink,11x11,3x3,False,False,False,"[0, 6, 8]","[0, 1]",4,1,262,11x11→3x3
task150,hflip,4x4,4x4,True,True,True,"[1, 2, 6, 7]","[1, 2, 6, 7]",3,1,262,varies
task151,complex_same_size_variable,4x4,4x4,True,True,True,"[0, 2, 3]","[0, 2, 3, 4]",3,1,262,varies
task152,complex_expand,3x3,6x6,False,False,False,"[3, 4, 5]","[3, 4, 5]",4,1,262,3x3→6x6
task153,complex_shrink,10x10,3x3,False,False,False,"[0, 3, 7]","[3, 7]",3,1,261,10x10→3x3
task154,complex_same_size,15x15,15x15,True,False,False,"[0, 2, 5]","[0, 2, 5]",3,1,262,15x15
task155,vflip,5x5,5x5,True,True,True,"[1, 2, 3, 4, 7, 8]","[1, 2, 3, 4, 7, 8]",3,1,262,varies
task156,complex_same_size,10x10,10x10,True,False,False,"[0, 4]","[0, 1, 2, 4]",2,1,262,10x10
task157,complex_same_size,10x15,10x15,True,False,False,"[0, 2, 5]","[0, 1, 2]",2,1,262,10x15
task158,complex_same_size_variable,20x19,20x19,True,True,True,"[1, 2, 3, 8]","[1, 2, 3, 8]",3,1,262,varies
task159,complex_variable,18x21,8x8,False,True,True,"[0, 2, 8]","[0, 2, 8]",3,1,261,varies
task160,complex_same_size,10x10,10x10,True,False,False,"[0, 1]","[0, 1, 2]",2,1,262,10x10
task161,complex_same_size_variable,11x22,11x22,True,True,True,"[0, 2, 3, 5]","[0, 3]",3,1,262,varies
task162,complex_same_size,20x20,20x20,True,False,False,"[0, 5]","[0, 1, 5]",3,1,262,20x20
task163,complex_same_size,11x11,11x11,True,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 3, 4, 5, 7]",4,1,262,11x11
task164,mirror_h,3x3,3x6,False,False,False,"[1, 6, 8]","[1, 6, 8]",4,1,262,3x3→3x6
task165,complex_same_size,20x20,20x20,True,False,False,"[0, 8, 9]","[0, 8, 9]",3,1,261,20x20
task166,complex_same_size_variable,14x10,14x10,True,True,True,"[0, 8]","[0, 2, 8]",3,1,262,varies
task167,complex_same_size,3x3,3x3,True,False,False,"[2, 3]","[0, 5]",5,1,262,3x3
task168,complex_same_size,10x10,10x10,True,False,False,"[0, 7]","[0, 7]",2,1,262,10x10
task169,complex_same_size,10x10,10x10,True,False,False,"[0, 5]","[0, 1, 2, 3]",3,1,262,10x10
task170,complex_variable,27x21,3x3,False,True,True,"[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0, 3, 6, 7, 8]",3,1,262,varies
task171,complex_same_size_variable,3x3,3x3,True,True,True,[0],"[0, 8]",4,1,49,varies
task172,mirror_v,3x3,6x3,False,False,False,"[1, 2, 4, 9]","[1, 2, 4, 9]",4,1,262,3x3→6x3
task173,complex_same_size_variable,13x22,13x22,True,True,True,"[0, 1, 3, 6, 8]","[0, 1, 3, 6, 8]",3,1,262,varies
task174,complex_variable,10x10,2x4,False,False,True,"[0, 2, 6, 7]","[0, 6]",3,1,262,varies
task175,complex_same_size,21x21,21x21,True,False,False,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",3,1,262,21x21
task176,complex_same_size_variable,3x10,3x10,True,True,True,"[0, 2]","[0, 2, 4]",3,1,21,varies
task177,complex_variable,10x15,4x8,False,True,True,"[0, 2, 8]","[2, 8]",3,1,261,varies
task178,complex_variable,3x3,3x1,False,True,True,"[1, 2]","[1, 2]",5,1,262,varies
task179,transpose,3x3,3x3,True,False,False,"[1, 2, 5]","[1, 2, 5]",4,1,262,3x3
task180,complex_shrink,8x8,4x4,False,False,False,"[0, 4, 5, 6, 9]","[0, 4, 5, 6, 9]",5,1,262,8x8→4x4
task181,complex_same_size,6x9,6x9,True,False,False,"[0, 4, 8]","[0, 4, 8]",3,1,262,6x9
task182,complex_same_size,20x20,20x20,True,False,False,"[0, 1, 2, 5]","[0, 1, 2, 5]",4,1,262,20x20
task183,complex_variable,8x8,4x4,False,True,True,"[0, 1, 2, 3, 4, 6, 8]","[0, 2, 3, 4, 6]",3,1,261,varies
task184,complex_variable,20x20,2x2,False,True,True,"[0, 1, 6, 8]","[1, 6, 8]",3,1,262,varies
task185,complex_variable_in_fixed_out,29x29,3x3,False,True,False,"[0, 1, 3, 4]","[0, 1, 3]",4,1,262,→3x3
task186,complex_same_size,3x3,3x3,True,False,False,"[0, 1]","[0, 2]",10,2,255,3x3
task187,complex_same_size_variable,23x23,23x23,True,True,True,"[0, 8]","[2, 3, 8]",3,1,262,varies
task188,complex_variable,4x8,4x4,False,True,True,"[1, 2, 3]","[1, 2, 3]",3,1,262,varies
task189,complex_shrink,9x9,6x6,False,False,False,"[0, 1, 2, 3, 4, 6, 8]","[0, 1, 2, 4, 6]",3,1,262,9x9→6x6
task190,complex_same_size,10x10,10x10,True,False,False,"[0, 3]","[0, 3]",3,1,262,10x10
task191,complex_same_size,23x23,23x23,True,False,False,"[0, 1, 4]","[0, 1, 4]",4,1,262,23x23
task192,complex_same_size_variable,13x14,13x14,True,True,True,"[0, 3, 8]","[0, 3]",2,1,262,varies
task193,color_filter,13x13,13x13,True,True,True,"[0, 7]","[0, 7]",3,1,262,varies
task194,complex_expand,3x3,6x6,False,False,False,"[0, 2, 3, 5, 8]","[0, 2, 3, 5, 8]",3,1,262,3x3→6x6
task195,complex_variable_in_fixed_out,16x18,9x9,False,True,False,"[0, 5]","[0, 5]",3,1,261,→9x9
task196,complex_same_size_variable,15x15,15x15,True,True,True,"[0, 1]","[0, 1, 3]",3,1,262,varies
task197,complex_same_size_variable,10x8,10x8,True,True,True,"[0, 1, 2, 3, 4, 6, 8]","[0, 1, 2, 3, 4, 6, 8]",4,1,262,varies
task198,complex_same_size_variable,24x24,24x24,True,True,True,"[0, 8]","[3, 4, 8]",3,1,262,varies
task199,complex_same_size_variable,3x3,3x3,True,True,True,"[0, 2]","[0, 2, 4]",3,1,262,varies
task200,complex_same_size,10x10,10x10,True,False,False,"[0, 2]","[0, 2, 5]",3,1,80,10x10
task201,complex_variable,13x13,6x8,False,False,True,"[0, 1, 2, 4]","[0, 1, 2, 4]",4,1,261,varies
task202,color_filter,15x19,15x19,True,True,True,"[0, 4, 5, 8]","[0, 4, 5, 8]",4,1,262,varies
task203,complex_same_size_variable,12x12,12x12,True,True,True,"[1, 2, 3, 4, 5, 8]","[1, 2, 3, 4, 5, 8]",4,1,262,varies
task204,complex_same_size_variable,10x10,10x10,True,True,True,"[0, 1]","[0, 1, 2, 7]",5,1,262,varies
task205,complex_variable,17x23,7x6,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2]",3,1,262,varies
task206,complex_same_size_variable,9x9,9x9,True,True,True,"[0, 1, 2, 3, 5]","[0, 1, 2, 3]",3,1,262,varies
task207,complex_shrink,5x5,2x2,False,False,False,"[0, 2]","[0, 2]",3,1,261,5x5→2x2
task208,complex_same_size,21x21,21x21,True,False,False,"[0, 1, 2, 8]","[0, 1, 2, 8]",3,1,262,21x21
task209,complex_variable,17x17,9x14,False,True,True,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,1,262,varies
task210,mirror_v,3x3,6x3,False,False,False,"[0, 1]","[0, 1]",3,1,262,3x3→6x3
task211,complex_expand,3x2,9x4,False,False,False,"[0, 8]","[0, 8]",3,1,262,3x2→9x4
task212,complex_same_size,10x10,10x10,True,False,False,"[0, 1, 2, 5]","[0, 1, 2, 5]",2,1,262,10x10
task213,complex_variable,18x15,6x6,False,True,True,"[0, 1, 2, 3, 4, 5, 6, 8]","[1, 2, 3, 4, 6, 8]",3,1,261,varies
task214,complex_same_size,3x11,3x11,True,False,False,"[0, 1, 2, 4, 5]","[1, 2, 4, 5]",3,1,262,3x11
task215,complex_same_size_variable,15x19,15x19,True,True,True,"[0, 8]","[0, 8]",2,1,262,varies
task216,complex_variable,20x20,5x6,False,False,True,"[0, 1, 2]","[1, 2]",3,1,262,varies
task217,complex_same_size,9x9,9x9,True,False,False,"[0, 8]","[0, 8]",3,1,262,9x9
task218,complex_variable,21x21,3x3,False,False,True,"[0, 1, 2, 3, 4, 5, 7, 8]","[1, 2, 3, 4, 5, 7, 8]",3,1,262,varies
task219,complex_same_size,15x10,15x10,True,False,False,"[0, 8]","[0, 1, 8]",3,1,261,15x10
task220,complex_same_size_variable,12x12,12x12,True,True,True,"[0, 2, 3, 8]","[0, 1, 2, 3, 4, 6, 8]",4,1,262,varies
task221,complex_variable,3x3,12x12,False,False,True,"[0, 6]","[0, 6]",4,1,262,varies
task222,color_filter,16x16,16x16,True,False,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2]",3,1,262,16x16
task223,scale3x,3x3,9x9,False,False,False,"[0, 3, 4, 7]","[0, 3, 4, 7]",2,1,262,3x3→9x9
task224,complex_same_size_variable,12x13,12x13,True,True,True,"[0, 1, 5]","[0, 1, 5]",3,1,262,varies
task225,complex_same_size,6x6,6x6,True,False,False,"[0, 3, 7, 8, 9]","[0, 3, 7, 8, 9]",3,1,261,6x6
task226,complex_same_size,10x10,10x10,True,False,False,"[0, 5]","[0, 1, 2, 3, 5]",3,1,129,10x10
task227,complex_shrink,8x4,4x4,False,False,False,"[0, 1, 3]","[0, 2]",4,1,262,8x4→4x4
task228,complex_same_size,10x10,10x10,True,False,False,"[0, 2, 3, 4, 6, 8]","[0, 2, 3, 4, 6, 8]",3,1,262,10x10
task229,complex_same_size,3x3,3x3,True,False,False,"[1, 2, 8]","[2, 5]",4,1,262,3x3
task230,complex_same_size_variable,10x10,10x10,True,True,True,"[0, 5]","[0, 1, 2, 3, 4, 5]",3,1,262,varies
task231,complex_variable,5x6,5x12,False,True,True,"[0, 2, 8]","[0, 2, 8]",3,1,262,varies
task232,complex_same_size_variable,10x8,10x8,True,True,True,"[0, 2, 6]","[0, 2, 5, 6]",3,1,262,varies
task233,complex_variable,24x19,17x9,False,True,True,"[0, 1, 2, 3, 4, 5, 8]","[1, 2, 3, 4, 5, 8]",3,1,262,varies
task234,complex_same_size_variable,17x14,17x14,True,True,True,"[0, 4, 5]","[0, 4, 5]",3,1,262,varies
task235,complex_shrink,4x14,3x3,False,False,False,"[0, 5]","[2, 3, 8]",4,1,64,4x14→3x3
task236,complex_shrink,9x4,4x4,False,False,False,"[0, 1, 2, 4]","[0, 3]",4,1,262,9x4→4x4
